"YEAR";"JUN_Mean";"JUL_Mean";"AUG_Mean";"TMAX";"TMIN";"TMEAN"
1961;18,0578571428571;19,4235714285714;19,3528571428571;19,4235714285714;18,0578571428571;18,9447619047619
1962;17,195;19,41;20,2657142857143;20,2657142857143;17,195;18,9569047619048
1963;17,4528571428571;20,195;18,025;20,195;17,4528571428571;18,557619047619
1964;18,5414285714286;21,3007142857143;19,6864285714286;21,3007142857143;18,5414285714286;19,8428571428571
1965;17,5821428571429;18,4342857142857;18,6092857142857;18,6092857142857;17,5821428571429;18,2085714285714
1966;18,4328571428571;18,325;18,5771428571429;18,5771428571429;18,325;18,445
1967;17,0021428571429;21,3157142857143;19,745;21,3157142857143;17,0021428571429;19,3542857142857
1968;17,2978571428571;19,5392857142857;18,7514285714286;19,5392857142857;17,2978571428571;18,5295238095238
1969;16,2921428571429;20,6378571428571;19,765;20,6378571428571;16,2921428571429;18,8983333333333
1970;18,99;19,0507692307692;19,6469230769231;19,6469230769231;18,99;19,2292307692308
1971;16,5364285714286;21,2035714285714;20,4085714285714;21,2035714285714;16,5364285714286;19,3828571428571
1972;15,7778571428571;19,7435714285714;18,5642857142857;19,7435714285714;15,7778571428571;18,0285714285714
1973;18,5135714285714;20,0121428571429;21,6785714285714;21,6785714285714;18,5135714285714;20,0680952380952
1974;17,3985714285714;19,2271428571429;20,1842857142857;20,1842857142857;17,3985714285714;18,9366666666667
1975;17,3721428571429;20,6378571428571;21,345;21,345;17,3721428571429;19,785
1976;20,8035714285714;21,8271428571429;20,17;21,8271428571429;20,17;20,9335714285714
1977;16,5778571428571;19,2314285714286;18,38;19,2314285714286;16,5778571428571;18,0630952380952
1978;16,6507142857143;18,885;18,6271428571429;18,885;16,6507142857143;18,0542857142857
1979;18,2071428571429;20,1064285714286;18,7028571428571;20,1064285714286;18,2071428571429;19,0054761904762
1980;16,5742857142857;17,9835714285714;20,2907142857143;20,2907142857143;16,5742857142857;18,2828571428571
1981;17,7230769230769;19,1438461538462;20,3853846153846;20,3853846153846;17,7230769230769;19,0841025641026
1982;19,3876923076923;21,9384615384615;19,5192857142857;21,9384615384615;19,3876923076923;20,2818131868132
1983;18,6928571428571;23,7771428571429;21,0728571428571;23,7771428571429;18,6928571428571;21,1809523809524
1984;17,2;20,3085714285714;19,8928571428571;20,3085714285714;17,2;19,1338095238095
1985;16,965;21,0578571428571;19,1992857142857;21,0578571428571;16,965;19,0740476190476
1986;18,3235714285714;20,2657142857143;19,4342857142857;20,2657142857143;18,3235714285714;19,3411904761905
1987;16,9535714285714;20,465;20,3607142857143;20,465;16,9535714285714;19,2597619047619
1988;17,9007142857143;19,5221428571429;20,38;20,38;17,9007142857143;19,267619047619
1989;18,3653846153846;21,7153846153846;20,8953846153846;21,7153846153846;18,3653846153846;20,3253846153846
1990;17,5615384615385;21,0238461538462;21,6892307692308;21,6892307692308;17,5615384615385;20,0915384615385
1991;16,8514285714286;21,5521428571429;22,31;22,31;16,8514285714286;20,2378571428571
1992;17,5715384615385;20,6938461538462;21,6961538461538;21,6961538461538;17,5715384615385;19,9871794871795
1993;18,8661538461538;19,2215384615385;20,1192307692308;20,1192307692308;18,8661538461538;19,4023076923077
1994;18,7835714285714;23,0028571428571;21,8007142857143;23,0028571428571;18,7835714285714;21,1957142857143
1995;17,6992857142857;22,765;21,6428571428571;22,765;17,6992857142857;20,702380952381
1996;19,1742857142857;19,9923076923077;19,8728571428571;19,9923076923077;19,1742857142857;19,6798168498168
1997;18,0264285714286;20,0728571428571;22,6985714285714;22,6985714285714;18,0264285714286;20,2659523809524
1998;18,7514285714286;20,4107142857143;21,0021428571429;21,0021428571429;18,7514285714286;20,0547619047619
1999;18,1521428571429;21,865;21,27;21,865;18,1521428571429;20,4290476190476
2000;19,1869230769231;19,1130769230769;21,1976923076923;21,1976923076923;19,1130769230769;19,8325641025641
2001;18,4607142857143;21,1564285714286;21,7414285714286;21,7414285714286;18,4607142857143;20,4528571428571
2002;19,4671428571429;20,1071428571429;20,1378571428571;20,1378571428571;19,4671428571429;19,9040476190476
2003;22,6292857142857;22,4357142857143;24,9578571428571;24,9578571428571;22,4357142857143;23,3409523809524
2004;19,4535714285714;20,5178571428571;21,2264285714286;21,2264285714286;19,4535714285714;20,3992857142857
2005;20,7564285714286;21,605;19,9314285714286;21,605;19,9314285714286;20,7642857142857
2006;19,9878571428571;24,5892857142857;19,3357142857143;24,5892857142857;19,3357142857143;21,3042857142857
2007;19,2657142857143;19,9471428571429;19,6592857142857;19,9471428571429;19,2657142857143;19,6240476190476
2008;18,8892857142857;20,5471428571429;20,2271428571429;20,5471428571429;18,8892857142857;19,8878571428571
2009;19,45;21,19;22,0342857142857;22,0342857142857;19,45;20,8914285714286
2010;19,1192857142857;22,4685714285714;20,1657142857143;22,4685714285714;19,1192857142857;20,5845238095238
2011;18,7721428571429;19,2471428571429;20,8578571428571;20,8578571428571;18,7721428571429;19,6257142857143
2012;19,1164285714286;20,2314285714286;21,9964285714286;21,9964285714286;19,1164285714286;20,4480952380952
2013;17,8935714285714;23,0135714285714;21,06;23,0135714285714;17,8935714285714;20,6557142857143
2014;20,0721428571429;20,78;19,3578571428571;20,78;19,3578571428571;20,07
2015;20,1628571428571;23,1757142857143;21,7414285714286;23,1757142857143;20,1628571428571;21,6933333333333
2016;18,975;21,5607142857143;21,6978571428571;21,6978571428571;18,975;20,7445238095238
2017;21,3335714285714;21,935;21,68;21,935;21,3335714285714;21,6495238095238
2018;20,37;23,4664285714286;22,6535714285714;23,4664285714286;20,37;22,1633333333333
2019;20,3235714285714;23,3121428571429;22,0664285714286;23,3121428571429;20,3235714285714;21,9007142857143
